timestamp_s,Bx_mT,By_mT,Bz_mT,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,phase
3.42200,0.780000,0.620000,15.740000,0.106131,-0.168486,-1.431674,-0.008937,-0.005399,-0.002126,zero
3.62500,0.790000,0.620000,15.750000,0.113406,-0.164318,-1.431565,-0.008909,-0.005450,-0.002019,zero
3.64000,0.790000,0.590000,15.760000,0.106131,-0.168486,-1.431674,-0.008937,-0.005399,-0.002126,zero
3.65600,0.830000,0.590000,15.760000,0.099058,-0.155918,-1.431637,-0.008848,-0.005349,-0.002128,zero
3.65600,0.810000,0.630000,15.750000,0.099058,-0.155918,-1.431637,-0.008848,-0.005349,-0.002128,zero
3.67200,0.840000,0.600000,15.730000,0.099006,-0.164308,-1.431588,-0.008907,-0.005350,-0.002020,zero
3.68700,0.840000,0.630000,15.760000,0.091732,-0.168476,-1.431697,-0.008936,-0.005299,-0.002127,zero
3.70300,0.780000,0.570000,15.740000,0.091450,-0.168522,-1.441980,-0.008771,-0.005204,-0.002133,zero
3.71900,0.790000,0.620000,15.730000,0.105798,-0.176922,-1.441907,-0.008832,-0.005304,-0.002024,zero
3.71900,0.840000,0.610000,15.740000,0.105850,-0.168531,-1.441956,-0.008773,-0.005304,-0.002132,zero
3.73400,0.800000,0.600000,15.730000,0.105850,-0.168531,-1.441956,-0.008773,-0.005304,-0.002132,zero
3.75000,0.810000,0.600000,15.740000,0.106281,-0.160140,-1.431479,-0.008879,-0.005401,-0.001913,zero
3.76500,0.800000,0.600000,15.740000,0.106250,-0.159868,-1.441927,-0.008877,-0.005593,-0.001917,zero
3.76500,0.800000,0.600000,15.730000,0.098976,-0.164036,-1.442036,-0.008905,-0.005542,-0.002024,zero
3.78100,0.790000,0.620000,15.760000,0.099006,-0.164308,-1.431588,-0.008907,-0.005350,-0.002020,zero
3.79700,0.820000,0.590000,15.740000,0.098976,-0.164036,-1.442036,-0.008905,-0.005542,-0.002024,zero
3.81200,0.810000,0.610000,15.740000,0.098724,-0.164354,-1.441870,-0.008743,-0.005254,-0.002026,zero
3.82800,0.800000,0.650000,15.750000,0.105850,-0.168531,-1.441956,-0.008773,-0.005304,-0.002132,zero
3.82800,0.810000,0.600000,15.760000,0.113406,-0.164318,-1.431565,-0.008909,-0.005450,-0.002019,zero
3.84400,0.800000,0.580000,15.740000,0.113406,-0.164318,-1.431565,-0.008909,-0.005450,-0.002019,zero
3.85900,0.770000,0.620000,15.760000,0.113406,-0.164318,-1.431565,-0.008909,-0.005450,-0.002019,zero
3.87500,0.810000,0.640000,15.740000,0.113406,-0.164318,-1.431565,-0.008909,-0.005450,-0.002019,zero
3.87500,0.770000,0.620000,15.750000,0.106281,-0.160140,-1.431479,-0.008879,-0.005401,-0.001913,zero
