timestamp_s,Bx_mT,By_mT,Bz_mT,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,phase
13.56300,4.270000,1.580000,12.170000,0.042260,-0.122399,-1.544589,-0.010187,-0.003223,0.000425,zero
14.20400,4.260000,1.580000,12.160000,0.042260,-0.122399,-1.544589,-0.010187,-0.003223,0.000425,zero
14.21900,4.310000,1.570000,12.180000,0.035105,-0.117949,-1.554951,-0.010155,-0.003366,0.000526,zero
14.23500,4.260000,1.590000,12.180000,0.035053,-0.126340,-1.554902,-0.010213,-0.003366,0.000635,zero
14.25000,4.270000,1.640000,12.180000,0.034684,-0.126313,-1.534198,-0.010048,-0.003268,0.000642,zero
14.26600,4.270000,1.590000,12.170000,0.035053,-0.126340,-1.554902,-0.010213,-0.003366,0.000635,zero
14.26600,4.260000,1.580000,12.170000,0.035083,-0.126612,-1.544454,-0.010216,-0.003174,0.000640,zero
14.28200,4.270000,1.620000,12.150000,0.035083,-0.126612,-1.544454,-0.010216,-0.003174,0.000640,zero
14.29700,4.280000,1.610000,12.170000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
14.31300,4.310000,1.600000,12.180000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.31300,4.290000,1.620000,12.170000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.32900,4.260000,1.610000,12.160000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.34400,4.290000,1.600000,12.190000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.36000,4.280000,1.600000,12.180000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
14.37500,4.270000,1.610000,12.160000,0.034934,-0.134957,-1.544649,-0.010274,-0.003173,0.000426,zero
14.37500,4.260000,1.590000,12.160000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.39100,4.260000,1.590000,12.160000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.40700,4.270000,1.630000,12.180000,0.042490,-0.130744,-1.534258,-0.010410,-0.003319,0.000539,zero
14.42200,4.250000,1.610000,12.170000,0.042157,-0.139180,-1.544491,-0.010304,-0.003224,0.000641,zero
14.42200,4.290000,1.580000,12.170000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
14.43800,4.240000,1.650000,12.180000,0.049533,-0.143040,-1.544743,-0.010497,-0.003561,0.000536,zero
14.45400,4.290000,1.640000,12.180000,0.042126,-0.138908,-1.554939,-0.010302,-0.003416,0.000637,zero
14.46900,4.270000,1.600000,12.160000,0.042490,-0.130744,-1.534258,-0.010410,-0.003319,0.000539,zero
14.48500,4.280000,1.600000,12.160000,0.042157,-0.139180,-1.544491,-0.010304,-0.003224,0.000641,zero
14.48500,4.260000,1.610000,12.170000,0.049282,-0.143357,-1.544577,-0.010334,-0.003275,0.000535,zero
14.50000,4.280000,1.590000,12.160000,0.049282,-0.143357,-1.544577,-0.010334,-0.003275,0.000535,zero
14.51600,4.240000,1.620000,12.150000,0.056608,-0.130799,-1.544517,-0.010247,-0.003324,0.000534,zero
14.53200,4.300000,1.610000,12.170000,0.049585,-0.134650,-1.544791,-0.010438,-0.003561,0.000428,zero
14.54700,4.240000,1.600000,12.180000,0.042439,-0.139135,-1.534209,-0.010469,-0.003319,0.000647,zero
14.56300,4.290000,1.600000,12.190000,0.041779,-0.130219,-1.544731,-0.010076,-0.003510,0.000530,zero
14.56300,4.250000,1.590000,12.160000,0.042126,-0.138908,-1.554939,-0.010302,-0.003416,0.000637,zero
14.57900,4.300000,1.560000,12.190000,0.041779,-0.130219,-1.544731,-0.010076,-0.003510,0.000530,zero
14.59400,4.290000,1.590000,12.160000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
14.61000,4.250000,1.580000,12.190000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
14.62500,4.250000,1.580000,12.170000,0.056578,-0.130527,-1.554965,-0.010245,-0.003516,0.000529,zero
14.64100,4.260000,1.610000,12.170000,0.056608,-0.130799,-1.544517,-0.010247,-0.003324,0.000534,zero
14.65700,4.290000,1.640000,12.170000,0.056578,-0.130527,-1.554965,-0.010245,-0.003516,0.000529,zero
14.65700,4.230000,1.610000,12.160000,0.056859,-0.130482,-1.544682,-0.010409,-0.003611,0.000535,zero
14.67200,4.240000,1.600000,12.190000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
14.68800,4.260000,1.630000,12.170000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.70400,4.280000,1.610000,12.180000,0.042460,-0.130472,-1.544706,-0.010408,-0.003511,0.000534,zero
14.71900,4.290000,1.570000,12.170000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
14.73500,4.290000,1.610000,12.170000,0.049564,-0.143312,-1.534295,-0.010499,-0.003369,0.000541,zero
14.73500,4.290000,1.610000,12.160000,0.056859,-0.130482,-1.544682,-0.010409,-0.003611,0.000535,zero
14.75000,4.220000,1.610000,12.160000,0.049564,-0.143312,-1.534295,-0.010499,-0.003369,0.000541,zero
14.76600,4.250000,1.640000,12.180000,0.049616,-0.134922,-1.534344,-0.010440,-0.003368,0.000432,zero
14.78200,4.260000,1.600000,12.170000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.78200,4.250000,1.610000,12.190000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.79700,4.230000,1.570000,12.170000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.81300,4.260000,1.620000,12.150000,0.042260,-0.122399,-1.544589,-0.010187,-0.003223,0.000425,zero
14.82900,4.260000,1.650000,12.160000,0.042378,-0.122743,-1.565127,-0.010190,-0.003034,0.000417,zero
14.84400,4.240000,1.610000,12.170000,0.049704,-0.110185,-1.565067,-0.010103,-0.003085,0.000416,zero
14.84400,4.260000,1.600000,12.190000,0.049704,-0.110185,-1.565067,-0.010103,-0.003085,0.000416,zero
14.86000,4.280000,1.570000,12.160000,0.035305,-0.110175,-1.565090,-0.010101,-0.002984,0.000415,zero
14.87500,4.220000,1.570000,12.160000,0.034905,-0.109876,-1.554834,-0.009933,-0.003079,0.000417,zero
14.89100,4.230000,1.620000,12.140000,0.027861,-0.122389,-1.544612,-0.010185,-0.003123,0.000424,zero
14.90700,4.270000,1.620000,12.160000,0.042378,-0.122743,-1.565127,-0.010190,-0.003034,0.000417,zero
14.92200,4.270000,1.600000,12.160000,0.041979,-0.122444,-1.554871,-0.010022,-0.003128,0.000419,zero
14.92200,4.270000,1.590000,12.160000,0.041927,-0.130835,-1.554822,-0.010081,-0.003128,0.000527,zero
14.93800,4.290000,1.610000,12.150000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.95400,4.260000,1.580000,12.150000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
14.96900,4.240000,1.600000,12.140000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
14.98500,4.270000,1.580000,12.180000,0.035017,-0.126839,-1.534250,-0.010217,-0.002981,0.000322,zero
15.00000,4.270000,1.640000,12.160000,0.027861,-0.122389,-1.544612,-0.010185,-0.003123,0.000424,zero
15.00000,4.300000,1.610000,12.150000,0.027610,-0.122707,-1.544446,-0.010023,-0.002835,0.000423,zero
15.01600,4.270000,1.600000,12.170000,0.020905,-0.110165,-1.565114,-0.010100,-0.002883,0.000415,zero
15.03200,4.260000,1.610000,12.170000,0.028210,-0.106269,-1.554557,-0.010073,-0.002742,0.000527,zero
15.04700,4.260000,1.610000,12.170000,0.035105,-0.102102,-1.564973,-0.009880,-0.002696,0.000306,zero
15.06300,4.320000,1.610000,12.170000,0.027980,-0.097924,-1.564888,-0.009850,-0.002646,0.000412,zero
15.07900,4.280000,1.590000,12.180000,0.027980,-0.097924,-1.564888,-0.009850,-0.002646,0.000412,zero
15.07900,4.280000,1.640000,12.170000,0.028231,-0.097607,-1.565053,-0.010013,-0.002935,0.000413,zero
15.09400,4.270000,1.580000,12.150000,0.020936,-0.110437,-1.554666,-0.010102,-0.002691,0.000419,zero
15.11000,4.270000,1.620000,12.170000,0.013463,-0.097571,-1.544372,-0.009845,-0.002736,0.000419,zero
15.12500,4.270000,1.620000,12.170000,0.020936,-0.110437,-1.554666,-0.010102,-0.002691,0.000419,zero
15.14100,4.260000,1.620000,12.150000,0.020936,-0.110437,-1.554666,-0.010102,-0.002691,0.000419,zero
15.15700,4.260000,1.550000,12.160000,0.035335,-0.110447,-1.554642,-0.010103,-0.002792,0.000420,zero
15.17200,4.230000,1.600000,12.160000,0.035335,-0.110447,-1.554642,-0.010103,-0.002792,0.000420,zero
15.18800,4.250000,1.600000,12.160000,0.035305,-0.110175,-1.565090,-0.010101,-0.002984,0.000415,zero
15.18800,4.240000,1.590000,12.160000,0.035335,-0.110447,-1.554642,-0.010103,-0.002792,0.000420,zero
15.20400,4.280000,1.630000,12.170000,0.034936,-0.110148,-1.544386,-0.009936,-0.002886,0.000422,zero
15.21900,4.240000,1.620000,12.160000,0.035253,-0.118565,-1.565042,-0.010160,-0.002984,0.000524,zero
15.23500,4.270000,1.630000,12.170000,0.035253,-0.118565,-1.565042,-0.010160,-0.002984,0.000524,zero
15.25000,4.240000,1.590000,12.160000,0.035335,-0.110447,-1.554642,-0.010103,-0.002792,0.000420,zero
15.26600,4.260000,1.630000,12.170000,0.035305,-0.110175,-1.565090,-0.010101,-0.002984,0.000415,zero
15.28200,4.280000,1.590000,12.170000,0.035305,-0.110175,-1.565090,-0.010101,-0.002984,0.000415,zero
15.29700,4.270000,1.600000,12.170000,0.028061,-0.114615,-1.554752,-0.010132,-0.002742,0.000313,zero
15.31300,4.280000,1.560000,12.160000,0.028030,-0.114343,-1.565199,-0.010130,-0.002933,0.000308,zero
15.32900,4.280000,1.620000,12.160000,0.020936,-0.110437,-1.554666,-0.010102,-0.002691,0.000419,zero
15.32900,4.270000,1.620000,12.180000,0.020905,-0.110165,-1.565114,-0.010100,-0.002883,0.000415,zero
15.34400,4.240000,1.620000,12.170000,0.028009,-0.123005,-1.554703,-0.010191,-0.002742,0.000421,zero
15.36000,4.290000,1.580000,12.150000,0.035305,-0.110175,-1.565090,-0.010101,-0.002984,0.000415,zero
15.37500,4.270000,1.570000,12.150000,0.035283,-0.118837,-1.554594,-0.010162,-0.002792,0.000528,zero
15.39100,4.280000,1.610000,12.150000,0.035253,-0.118565,-1.565042,-0.010160,-0.002984,0.000524,zero
15.40700,4.250000,1.610000,12.160000,0.035253,-0.118565,-1.565042,-0.010160,-0.002984,0.000524,zero
15.40700,4.290000,1.600000,12.190000,0.020853,-0.118556,-1.565065,-0.010159,-0.002884,0.000523,zero
15.42200,4.260000,1.590000,12.170000,0.027579,-0.122435,-1.554894,-0.010021,-0.003027,0.000418,zero
15.43800,4.300000,1.600000,12.180000,0.034853,-0.118267,-1.554785,-0.009992,-0.003079,0.000525,zero
15.45400,4.230000,1.600000,12.180000,0.034853,-0.118267,-1.554785,-0.009992,-0.003079,0.000525,zero
15.46900,4.290000,1.620000,12.180000,0.042009,-0.122716,-1.544423,-0.010024,-0.002936,0.000424,zero
15.48500,4.300000,1.610000,12.160000,0.042260,-0.122399,-1.544589,-0.010187,-0.003223,0.000425,zero
15.50000,4.270000,1.620000,12.150000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
15.51600,4.280000,1.610000,12.180000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.53200,4.260000,1.620000,12.160000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
15.53200,4.280000,1.620000,12.190000,0.049052,-0.135012,-1.554908,-0.010111,-0.003178,0.000421,zero
15.54700,4.260000,1.610000,12.150000,0.049104,-0.126622,-1.554957,-0.010052,-0.003177,0.000312,zero
15.56300,4.290000,1.630000,12.170000,0.049104,-0.126622,-1.554957,-0.010052,-0.003177,0.000312,zero
15.57900,4.240000,1.610000,12.170000,0.056578,-0.130527,-1.554965,-0.010245,-0.003516,0.000529,zero
15.57900,4.240000,1.600000,12.170000,0.056608,-0.130799,-1.544517,-0.010247,-0.003324,0.000534,zero
15.59400,4.290000,1.600000,12.170000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.61000,4.270000,1.600000,12.180000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
15.62500,4.270000,1.610000,12.170000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
15.64100,4.300000,1.620000,12.170000,0.042178,-0.130517,-1.554988,-0.010243,-0.003416,0.000528,zero
15.65700,4.250000,1.600000,12.170000,0.049021,-0.134740,-1.565356,-0.010109,-0.003370,0.000416,zero
15.65700,4.280000,1.610000,12.170000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.67200,4.260000,1.610000,12.170000,0.056578,-0.130527,-1.554965,-0.010245,-0.003516,0.000529,zero
15.68800,4.260000,1.620000,12.170000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.70400,4.290000,1.590000,12.150000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.71900,4.270000,1.610000,12.160000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.71900,4.270000,1.610000,12.180000,0.049021,-0.134740,-1.565356,-0.010109,-0.003370,0.000416,zero
15.73500,4.240000,1.590000,12.170000,0.041896,-0.130563,-1.565270,-0.010079,-0.003320,0.000522,zero
15.75000,4.260000,1.590000,12.150000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.76600,4.270000,1.620000,12.150000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.78200,4.270000,1.600000,12.180000,0.049282,-0.143357,-1.544577,-0.010334,-0.003275,0.000535,zero
15.79700,4.260000,1.620000,12.170000,0.049251,-0.143085,-1.555025,-0.010332,-0.003466,0.000530,zero
15.79700,4.270000,1.610000,12.140000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.81300,4.270000,1.620000,12.160000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.82900,4.270000,1.600000,12.160000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.82900,4.250000,1.580000,12.170000,0.042157,-0.139180,-1.544491,-0.010304,-0.003224,0.000641,zero
15.84400,4.280000,1.630000,12.150000,0.049282,-0.143357,-1.544577,-0.010334,-0.003275,0.000535,zero
15.86000,4.260000,1.630000,12.180000,0.049052,-0.135012,-1.554908,-0.010111,-0.003178,0.000421,zero
15.87500,4.260000,1.610000,12.170000,0.049052,-0.135012,-1.554908,-0.010111,-0.003178,0.000421,zero
15.87500,4.250000,1.610000,12.180000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.89100,4.260000,1.600000,12.170000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.90700,4.260000,1.620000,12.180000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
15.92200,4.270000,1.620000,12.160000,0.042209,-0.130789,-1.544540,-0.010246,-0.003224,0.000533,zero
15.93800,4.280000,1.610000,12.170000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.95400,4.250000,1.570000,12.160000,0.049451,-0.135311,-1.565164,-0.010279,-0.003085,0.000419,zero
15.96900,4.270000,1.610000,12.170000,0.049334,-0.134967,-1.544626,-0.010275,-0.003273,0.000426,zero
15.96900,4.270000,1.610000,12.170000,0.049303,-0.134695,-1.555074,-0.010273,-0.003465,0.000422,zero
15.98500,4.270000,1.580000,12.170000,0.056428,-0.138873,-1.555159,-0.010303,-0.003515,0.000315,zero
16.00000,4.300000,1.590000,12.190000,0.056177,-0.139190,-1.554994,-0.010141,-0.003227,0.000314,zero
16.01600,4.300000,1.610000,12.180000,0.049251,-0.143085,-1.555025,-0.010332,-0.003466,0.000530,zero
16.03200,4.240000,1.610000,12.170000,0.049282,-0.143357,-1.544577,-0.010334,-0.003275,0.000535,zero
16.04700,4.310000,1.610000,12.170000,0.041977,-0.147253,-1.555134,-0.010361,-0.003415,0.000423,zero
16.04700,4.260000,1.590000,12.160000,0.041977,-0.147253,-1.555134,-0.010361,-0.003415,0.000423,zero
16.06300,4.290000,1.600000,12.160000,0.041977,-0.147253,-1.555134,-0.010361,-0.003415,0.000423,zero
16.07900,4.280000,1.590000,12.160000,0.048703,-0.151132,-1.544963,-0.010223,-0.003559,0.000318,zero
16.09400,4.260000,1.610000,12.150000,0.055977,-0.146964,-1.544854,-0.010194,-0.003609,0.000425,zero
16.11000,4.240000,1.630000,12.160000,0.049050,-0.159821,-1.555171,-0.010449,-0.003465,0.000425,zero
16.11000,4.270000,1.600000,12.180000,0.056325,-0.155653,-1.555062,-0.010421,-0.003516,0.000532,zero
16.12500,4.260000,1.610000,12.170000,0.055925,-0.155355,-1.544806,-0.010253,-0.003610,0.000534,zero
16.14100,4.290000,1.590000,12.170000,0.056377,-0.147263,-1.555111,-0.010362,-0.003515,0.000424,zero
16.15700,4.290000,1.640000,12.150000,0.056325,-0.155653,-1.555062,-0.010421,-0.003516,0.000532,zero
16.15700,4.280000,1.580000,12.170000,0.056325,-0.155653,-1.555062,-0.010421,-0.003516,0.000532,zero
16.17200,4.280000,1.600000,12.170000,0.063450,-0.159831,-1.555148,-0.010451,-0.003565,0.000425,zero
16.18800,4.270000,1.620000,12.170000,0.056176,-0.163999,-1.555257,-0.010479,-0.003515,0.000318,zero
16.20400,4.260000,1.640000,12.150000,0.056325,-0.155653,-1.555062,-0.010421,-0.003516,0.000532,zero
16.21900,4.270000,1.620000,12.160000,0.049332,-0.159776,-1.544889,-0.010614,-0.003560,0.000431,zero
16.23500,4.260000,1.600000,12.170000,0.048933,-0.159477,-1.534633,-0.010446,-0.003654,0.000432,zero
16.25000,4.320000,1.590000,12.160000,0.048933,-0.159477,-1.534633,-0.010446,-0.003654,0.000432,zero
16.25000,4.300000,1.580000,12.160000,0.055925,-0.155355,-1.544806,-0.010253,-0.003610,0.000534,zero
16.26600,4.260000,1.600000,12.170000,0.055925,-0.155355,-1.544806,-0.010253,-0.003610,0.000534,zero
16.28200,4.270000,1.600000,12.160000,0.055925,-0.155355,-1.544806,-0.010253,-0.003610,0.000534,zero
16.29700,4.270000,1.620000,12.160000,0.056207,-0.155309,-1.534523,-0.010418,-0.003706,0.000540,zero
16.29700,4.280000,1.610000,12.150000,0.056207,-0.155309,-1.534523,-0.010418,-0.003706,0.000540,zero
16.31300,4.260000,1.610000,12.160000,0.063450,-0.159831,-1.555148,-0.010451,-0.003565,0.000425,zero
16.32900,4.250000,1.570000,12.170000,0.063051,-0.159532,-1.544891,-0.010283,-0.003659,0.000427,zero
16.34400,4.290000,1.620000,12.170000,0.062999,-0.167923,-1.544843,-0.010342,-0.003660,0.000536,zero
16.36000,4.280000,1.610000,12.160000,0.062999,-0.167923,-1.544843,-0.010342,-0.003660,0.000536,zero
16.37500,4.280000,1.580000,12.180000,0.063051,-0.159532,-1.544891,-0.010283,-0.003659,0.000427,zero
16.39100,4.320000,1.620000,12.160000,0.063398,-0.168221,-1.555099,-0.010510,-0.003566,0.000534,zero
16.40700,4.270000,1.600000,12.180000,0.063281,-0.167877,-1.534561,-0.010506,-0.003755,0.000541,zero
16.42200,4.290000,1.590000,12.170000,0.063281,-0.167877,-1.534561,-0.010506,-0.003755,0.000541,zero
16.42200,4.300000,1.630000,12.160000,0.056006,-0.172045,-1.534670,-0.010535,-0.003704,0.000434,zero
16.43800,4.290000,1.620000,12.160000,0.055776,-0.163700,-1.545000,-0.010312,-0.003608,0.000320,zero
16.45400,4.260000,1.610000,12.170000,0.063450,-0.159831,-1.555148,-0.010451,-0.003565,0.000425,zero
16.46900,4.260000,1.610000,12.160000,0.063450,-0.159831,-1.555148,-0.010451,-0.003565,0.000425,zero
16.48500,4.260000,1.590000,12.160000,0.063450,-0.159831,-1.555148,-0.010451,-0.003565,0.000425,zero
